customerid,churn_probability,monthlycharges,expected_saved_revenue,retention_priority_score,risk_reasons,recommended_offer,contract,internetservice,tenure,ai_generated_message
7216-EWTRS,90.5,100.8,27.38,9122.4,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,1,"We’ve noticed you’ve just started enjoying our lightning‑fast fiber optic service, and we want to make sure it stays a perfect fit for you. As a thank‑you for joining us, we’re happy to apply a 10 % discount to your next monthly bill and offer you an easy upgrade to a longer‑term contract that locks in this lower rate. With that upgrade, you’ll continue to benefit from the reliable speeds you love while enjoying added peace of mind and savings. If you have any questions or need help setting it up, just let us know—we’re here for you."
1400-MMYXY,86.1,105.9,27.34,9117.99,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,3,"We’ve noticed you’ve been enjoying our fiber‑optic service for the past three months, and we truly value you as a new member of our community. To help you get the most out of your connection, we’d like to offer you a 10 % discount on your monthly $105.90 bill and a complimentary upgrade to a longer‑term contract—so you can lock in this lower rate and keep streaming, gaming, and working without interruption. If you have any questions or need assistance, our support team is ready to help you anytime. Let us know how we can make your experience even better!"
5419-JPRRN,88.1,101.45,26.81,8937.74,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,1,"We’ve loved having you with us for the past month and want to make sure your fiber‑optic experience stays fast, reliable, and affordable. To thank you for choosing us, we’re offering a 10 % discount on your monthly $101.45 bill for the next three months—plus the option to upgrade to a low‑rate, 12‑month contract that locks in that savings for the year. If you have any questions or need a quick setup, our tech‑support team is just a call or click away, ready to keep you connected without any hassle. Let us know how we can help you stay online and secure."
3389-YGYAI,84.5,105.5,26.75,8914.75,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,8,"We’ve loved having you with us for the past eight months and want to make sure your fiber‑optic service continues to deliver the speed you rely on. To show our appreciation, we’re offering you a 10 % discount on your current $105.50 monthly rate, plus an easy upgrade to a longer‑term contract that locks in this lower price and adds priority tech support and online security at no extra cost. If you’d like to take advantage of the discount or learn more about the upgrade, just let us know—we’re here to help."
6496-SLWHQ,84.7,105.0,26.67,8893.5,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,3,"We’ve loved having you on board for the past three months with our fast fiber‑optic internet, and we understand that the flexibility of a month‑to‑month plan can sometimes feel uncertain. To make staying with us even easier, we’d like to extend a 10 % discount on your monthly $105 charge for the next six months, plus an upgrade to a 24‑month contract that locks in that lower rate and adds complimentary online security tools. This way you keep the blazing speeds you enjoy while gaining added peace of mind and savings. If you have any questions or need assistance setting this up, our support team is just a call or click away."
8884-ADFVN,86.5,101.95,26.46,8818.68,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,7,"We’ve noticed you’ve been enjoying our fiber‑optic internet for the past seven months, and we truly appreciate you choosing us for your connectivity needs. To make staying with us even easier, we’d like to offer you a 10 % discount on your monthly $101.95 bill for the next three months, plus an upgrade to a higher‑speed plan at no additional cost for the first two months. This special offer is available while you remain on your flexible month‑to‑month arrangement, so you can keep the freedom you value without any interruption in service. If you have any questions or need assistance, our support team is ready to help you anytime."
4822-RVYBB,86.2,100.6,26.0,8671.72,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,8,"We’ve noticed you’ve been enjoying our fiber‑optic internet for the past eight months, and we truly value having you with us on a flexible month‑to‑month plan. To show our appreciation, we’d like to offer you a 10 % discount on your next billing cycle and give you the option to upgrade to a longer‑term contract that locks in this lower rate plus added benefits. If you’d like to explore the upgrade or have any questions about your service, our support team is ready to help—just let us know the best way to reach you."
4587-VVTOX,82.0,105.3,25.91,8634.6,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,6,"We noticed you’ve been enjoying our fiber‑optic internet for the past six months, and we truly appreciate you choosing our month‑to‑month plan. To make staying with us even easier, we’re offering you a 10 % discount on your $105.30 monthly bill for the next three months, plus the option to upgrade to a longer‑term contract with locked‑in rates and added benefits like priority tech support and online security tools. If you’d like to apply the discount or learn more about the contract upgrade, just reply to this email or give us a call—our team is ready to help you keep the fast, reliable connection you love."
7234-FECYN,85.1,101.35,25.88,8624.88,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,8,"We’ve loved having you with us for the past eight months and want to make sure your fiber‑optic connection continues to deliver the speed you rely on. To show our appreciation, we’re offering you a 10 % discount on your monthly $101.35 bill for the next six months, plus a complimentary upgrade to a higher‑tier plan at no extra cost. This special offer is available only while you remain on your month‑to‑month agreement, and it comes with dedicated tech support and free online security tools to keep your home connected and protected. If you have any questions or would like to lock in the upgrade, just let us know—we’re here to help."
2656-TABEH,86.1,100.2,25.87,8627.22,"Month-to-month contract, Fiber optic plan, New customer, Electronic check payment, No tech support, No online security",10% discount + contract upgrade offer,Month-to-month,Fiber optic,4,"We noticed you’ve been enjoying our fiber‑optic service for the past four months, and we’d love to keep delivering that fast, reliable connection you rely on. As a thank‑you for choosing our month‑to‑month plan, we’re offering you a 10 % discount on your next billing cycle, plus an easy upgrade to a longer‑term contract that locks in this lower rate and adds priority tech support. This way you’ll continue to benefit from our top‑tier speeds while also gaining extra security features at no extra cost. If you have any questions or would like to activate the upgrade, just let us know—our team is ready to help."
